Label,SMS text
1,"#1 Sa aming oferta, makakatanggap ka ng 100% libreng pondo. I-click dito upang mag-apply ngayon!"
1,"Mga kasamahan, ang iyong 777 ay maaari nang i-claim. Kailangan ng aksyon mo ngayon!"
1,Congratulations! Ikaw ay isa sa mga napiling 99% ng mga mananalo ng aming premyo. Kuha na ang iyong diskwento NGAYON!
1,Gusto mo bang kumita ng 100% pa? Huwag palampasin ang oportunidad na ito. Pindutin dito!
1,Eksklusibong alok para sa iyo: Libreng iPhone at mag-sign up nang libre ngayon. Kumita ng malaking kita!
1,Agad-agad na pagbabawas ng timbang! Kumain nang masarap at magbawas ng timbang sa lalong madaling panahon.
1,Lumaya sa utang NGAYON! Tiyak na deposito at garantisadong kasiyahan. Huwag palampasin!
1,Benta ng mga kalakal sa murang halaga. Iwasang maubos ang pera sa aming clearance sale.
1,Mga lihim na ari-arian ngayon sa iyong kamay. Mag-save ng malaking halaga ng pera!
1,Maging sarili mong boss at kumita ng malalaking kita. Mag-sign up nang libre ngayon!
1,100% ibalik ang pera sa aming kahanga-hangang alok! Kuha na!
1,Libreng magamit ngayon! Mag-click dito at kunin ang iyong premyo!
1,Aksyon na! Kuha na ang iyong libreng cell phone ngayon mismo!
1,Mag-apply Online at maging bahagi ng mga masuwerteng mananalo. 100% libre!
1,Kanselahin sa anumang oras! Walang nakatagong bayad. Mag-click dito!
1,Kumita ng dagdag na kita sa online negosyo. Mag-sign up nang libre!
1,Lumaya sa utang NGAYON! Tiyak na deposito. Garantisadong kasiyahan.
1,Malaking KITA mula sa bahay. Agad-agad na pagbawas ng utang!
1,Bumili nang direkta! Pinakamababang presyo sa lahat ng oras. Mag-save ng pera!
1,Lumaban para sa iyong negosyo. Mag-sign up nang libre at kumita ng malalaking kita!
1,Dagdag na kita kada linggo! Kumita nang walang gastos. Mag-click dito!
1,Mga bagong customer lamang! Libreng bonus para sa iyo. Huwag palampasin!
1,Kitaan ng pera sa pamamagitan ng aming eksklusibong alok. Mag-apply NGAYON!
1,Kuha na ang iyong premyo! Pinakamahusay na alok para sa iyo.
1,"Para sa agarang access sa aming mga produkto, pindutin dito. Wag nang maghintay!"
1,"Habang ikaw ay natutulog, kumita ng malaking kita. Agad-agad na kita!"
1,Mag-save ng hanggang 50% sa iyong pagbili. Huwag palampasin ang oportunidad!
